,Time (h),Oda,gDCWL,mu,log10_oda,regions
121,121.0,1274.1,21.88680991553126,0.007958580778541613,1.340182466134267,0
122,122.0,1284.4,22.061692847122554,0.008735303319979515,1.3436388338501688,0
123,123.0,1295.8,22.25525259665078,0.007297319289019999,1.3474325278797872,0
124,124.0,1305.4,22.41825028046403,0.0063417621389567636,1.3506017133796946,0
125,125.0,1313.8,22.560873253800615,0.00532911297330152,1.3533559056821867,0
126,126.0,1320.9,22.68142362412083,0.006640292004435722,1.3556703100399305,0
127,127.0,1329.8,22.832536060156023,0.007261133713758028,1.3585541522156832,0
128,128.0,1339.6,22.99892952904871,0.00647557499940854,1.3617076225199298,0
129,129.0,1348.4,23.148344072544187,0.010071185423491613,1.3645199290093237,0
130,130.0,1362.2,23.382653243025725,0.00572006302739636,1.3688937892649706,0
131,131.0,1370.1,23.516786753663705,0.008912859569083942,1.3713779810739077,0
132,132.0,1382.5,23.72732542858915,0.006846130602500722,1.3752487868027394,0
133,133.0,1392.1,23.890323112402392,0.007575753962133724,1.3782220235457945,0
134,134.0,1402.8,24.071997614152572,0.0073787721892975,1.3815121316878058,0
135,135.0,1413.3,24.25027633082331,0.005864065418250686,1.3847166917328388,0
136,136.0,1421.7,24.3928993041599,0.006245000768438036,1.3872634229855048,0
137,137.0,1430.7,24.54570963273482,0.00503689920357564,1.3899755923587191,0
138,138.0,1438.0,24.669655788134474,0.006380340389186223,1.392163089888735,0
139,139.0,1447.3,24.827559794328554,0.005592102722113079,1.394934036512423,0
140,140.0,1455.5,24.9667869825857,0.004139788230925756,1.3973626558668728,0
141,141.0,1461.6,25.070358427508697,0.006547850691488666,1.399160543051812,0
142,142.0,1471.3,25.235054003861666,0.008041551300233873,1.4020042384754516,0
143,143.0,1483.3,25.438801108628223,0.0047276455610636425,1.4054966398310853,0
144,144.0,1490.4,25.559351478948436,0.005366357210251138,1.4075498302106495,0
145,145.0,1498.5,25.69688077466586,0.008945913003016503,1.4098804095349833,0
146,146.0,1512.1,25.927794160067954,0.006852437630562314,1.41376557018778,0
147,147.0,1522.6,26.106072876738693,0.007709751649517926,1.4167415460383195,0
