,Time (h),Oda,gDWL,GR-Exp,GR,mu
106,106.0,1141.0,19.626914945162206,2.8216959980135354,2.9769018357317156,0.050774946065334704
107,107.0,1149.0,19.76274634833991,2.8347739328356107,2.9837986679020423,0.05039057676973823
108,108.0,1158.7,19.92744192469288,2.8507028472500093,2.992097772985893,0.04999274352601074
109,109.0,1167.6,20.07855436072807,2.8653876007996253,2.999652298244191,0.04956377506149594
110,110.0,1179.1,20.27381200279602,2.8844612222556973,3.009330004094685,0.049182747397484496
111,111.0,1186.0,20.390966588036793,2.8959591131608686,3.015091988467039,0.04882616266404625
112,112.0,1196.6,20.57094319724725,2.913701296464199,3.023879555664072,0.048470372744607255
113,113.0,1203.7,20.691493567567463,2.9256387215405555,3.0297226770479933,0.0481337905712379
114,114.0,1213.6,20.85958492899987,2.942355757421661,3.037813551436015,0.04776678288371875
115,115.0,1222.5,21.010697365035067,2.9574558954704195,3.045031706359138,0.04756597986804912
116,116.0,1224.0,21.036165753130888,2.960007562489401,3.0462431351945756,0.04733497849670456
117,117.0,1234.6,21.216142362341344,2.978094562381722,3.0547623241214623,0.04697059555668955
118,118.0,1243.3,21.3638590132971,2.9930120166677234,3.0617006631904937,0.04663772930141695
119,119.0,1252.5,21.520065126951458,3.0088580988788576,3.068985761634332,0.046238806041852626
120,120.0,1265.1,21.73399958695634,3.0306796877970803,3.0788778356361663,0.04584986395837324
121,121.0,1274.1,21.88680991553126,3.0463512981672127,3.0858841684127607,0.04550804761862627
122,122.0,1284.4,22.061692847122554,3.0643735738029694,3.0938427491913023,0.045129751104093334
123,123.0,1295.8,22.25525259665078,3.084429183022714,3.102578052511282,0.044769466156223195
124,124.0,1305.4,22.41825028046403,3.1014069495705607,3.109875371800302,0.04446522177034131
125,125.0,1313.8,22.560873253800615,3.116329337458546,3.1162171339392586,0.04420652511598265
126,126.0,1320.9,22.68142362412083,3.128991093864659,3.12154624691256,0.043942723568357794
127,127.0,1329.8,22.832536060156023,3.144926169101367,3.128186538916996,0.04363833365623888
128,128.0,1339.6,22.99892952904871,3.162554344678905,3.135447672630754,0.043339656554949195
129,129.0,1348.4,23.148344072544187,3.1784569058035843,3.1419232476301624,0.04298246373709543
130,130.0,1362.2,23.382653243025725,3.203534939227537,3.151994433053654,0.04264454870516684
131,131.0,1370.1,23.516786753663705,3.217968369840712,3.1577144960810504,0.04233359772136936
132,132.0,1382.5,23.72732542858915,3.2407370934952913,3.1666273556501343,0.04200139807105997
133,133.0,1392.1,23.890323112402392,3.2584602082566354,3.173473486252635,0.041699599498839474
134,134.0,1402.8,24.071997614152572,3.278312875500853,3.1810492402147688,0.041388968504441605
135,135.0,1413.3,24.25027633082331,3.297896021344321,3.1884280124040663,0.04111585448728184
136,136.0,1421.7,24.3928993041599,3.313635191840603,3.194292077822317,0.04086766141188077
137,137.0,1430.7,24.54570963273482,3.3305704607212694,3.200537078590755,0.04063780104622507
138,138.0,1438.0,24.669655788134474,3.3443615947253753,3.2055739777943306,0.04040645036797947
139,139.0,1447.3,24.827559794328554,3.3620023400394468,3.211954318183517,0.040165306734377
140,140.0,1455.5,24.9667869825857,3.3776229115114944,3.21754642090563,0.03997036281576966
141,141.0,1461.6,25.070358427508697,3.3892835309907103,3.2216862091365557,0.039757295468917604
142,142.0,1471.3,25.235054003861666,3.4078970472593175,3.2282340598280443,0.03946829727689874
143,143.0,1483.3,25.438801108628223,3.4310454207833985,3.236275611128278,0.03921717990998932
144,144.0,1490.4,25.559351478948436,3.4448049146831936,3.241003256689342,0.03901973890186392
145,145.0,1498.5,25.69688077466586,3.460560055608055,3.246369613899593,0.03874142240580306
146,146.0,1512.1,25.927794160067954,3.4871518047800034,3.2553155269026095,0.03843665558361625
147,147.0,1522.6,26.106072876738693,3.5078014756525038,3.262167964533172,0.038157791186349065
148,148.0,1534.5,26.30812208896553,3.531330515369703,3.2698777161826897,0.037931568656573086
149,149.0,1541.0,26.418485104047413,3.544239237000748,3.2740639584664146,0.03780492479620992
150,150.0,1544.9,26.484702913096545,3.5520037478353235,3.276567317757687,0.03762153858892567
151,151.0,1556.2,26.67656477008505,3.57458272317901,3.283785456014123,0.03740282701606555
152,152.0,1563.2,26.795417247865544,3.5886308350702483,3.2882308746809774,0.03721732340418582
153,153.0,1571.9,26.943133898821298,3.6061559828357383,3.293728493051781,0.037058021634962815
154,154.0,1576.8,27.026330633267637,3.6160584129635986,3.2968115994368516,0.036964969812033927
155,155.0,1579.9,27.078965301999002,3.6223351220871365,3.298757238377573,0.03694525091984882
156,156.0,1578.5,27.055194806442902,3.6194993359374603,3.2978790314547637,0.036962638294607254
157,157.0,1578.4,27.05349691390318,3.6192968518524142,3.297816272866955,0.03700212894546766
158,158.0,1575.1,26.997466460092376,3.6126202654044706,3.2957430267901744,0.03700096745573647
